PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret
10107,02JAN2014,252,-0.6683%,0.0005,0.9085,-0.2461,-0.3349,1.4372%,1.5578%,14.8828%,0.1366%
10107,03JAN2014,252,-0.6728%,0.0005,0.9067,-0.2482,-0.3334,1.4357%,1.5558%,14.8463%,-0.5980%
10107,06JAN2014,252,-2.1132%,0.0005,0.9161,-0.2196,-0.3243,1.4335%,1.5572%,15.2563%,-1.8464%
10107,07JAN2014,252,0.7750%,0.0005,0.9162,-0.2195,-0.3268,1.4335%,1.5575%,15.2969%,0.1145%
10107,08JAN2014,252,-1.7852%,0.0005,0.9151,-0.2173,-0.3167,1.4384%,1.5617%,15.1715%,-1.8578%
10107,09JAN2014,252,-0.6432%,0.0004,0.9147,-0.2209,-0.2992,1.4392%,1.5623%,15.1306%,-0.7574%
10107,10JAN2014,252,1.4354%,0.0005,0.9273,-0.2408,-0.3088,1.4373%,1.5630%,15.4373%,1.0698%
10107,13JAN2014,252,-2.9412%,0.0004,0.9493,-0.2502,-0.3028,1.4394%,1.5730%,16.2655%,-1.7055%
10107,14JAN2014,252,2.2870%,0.0004,0.9607,-0.2540,-0.3209,1.4410%,1.5789%,16.7038%,1.1389%
10107,15JAN2014,252,2.7390%,0.0005,0.9661,-0.2517,-0.3040,1.4468%,1.5860%,16.7793%,2.3448%
10107,16JAN2014,252,0.3536%,0.0005,0.9656,-0.2544,-0.3047,1.4464%,1.5853%,16.7605%,0.2860%
10107,17JAN2014,252,-1.3825%,0.0004,0.9698,-0.2590,-0.3070,1.4478%,1.5877%,16.8518%,-0.9891%
10107,21JAN2014,252,-0.5772%,0.0004,0.9709,-0.2687,-0.3092,1.4485%,1.5884%,16.8370%,-0.7495%
10107,22JAN2014,252,-0.6635%,0.0004,0.9729,-0.2717,-0.3038,1.4485%,1.5888%,16.8847%,-0.6632%
10107,23JAN2014,252,0.3479%,0.0004,0.9621,-0.2505,-0.3124,1.4471%,1.5858%,16.7321%,1.0671%
10107,24JAN2014,252,2.0802%,0.0006,0.8862,-0.2459,-0.2519,1.4691%,1.5906%,14.6975%,4.1513%
10107,27JAN2014,252,-2.1057%,0.0006,0.8904,-0.2126,-0.2743,1.4728%,1.5961%,14.8517%,-1.6380%
10107,28JAN2014,252,0.6661%,0.0005,0.8919,-0.2166,-0.2771,1.4727%,1.5965%,14.9055%,0.0632%
10107,29JAN2014,252,1.0753%,0.0006,0.8754,-0.2261,-0.2537,1.4777%,1.5975%,14.4341%,2.0067%
10107,30JAN2014,252,0.5456%,0.0006,0.8696,-0.2360,-0.2403,1.4779%,1.5971%,14.3658%,-0.5510%
10107,31JAN2014,252,2.6587%,0.0008,0.8480,-0.2106,-0.2627,1.4884%,1.6019%,13.6690%,3.1344%
10107,03FEB2014,252,-3.5941%,0.0007,0.8708,-0.1919,-0.2956,1.4908%,1.6160%,14.8873%,-1.5922%
10107,04FEB2014,252,-0.3564%,0.0007,0.8558,-0.1839,-0.2939,1.4915%,1.6118%,14.3808%,-1.0474%
10107,05FEB2014,252,-1.4580%,0.0007,0.8616,-0.1681,-0.3004,1.4932%,1.6150%,14.5084%,-1.3164%
10107,06FEB2014,252,1.0050%,0.0007,0.8595,-0.1608,-0.2962,1.4926%,1.6153%,14.6119%,-0.0370%
10107,07FEB2014,252,1.0503%,0.0007,0.8543,-0.1551,-0.2845,1.4928%,1.6162%,14.6869%,-0.3097%
10107,10FEB2014,252,0.6564%,0.0007,0.8531,-0.1535,-0.2876,1.4928%,1.6156%,14.6329%,0.4078%
10107,11FEB2014,252,1.0190%,0.0006,0.8564,-0.1563,-0.3069,1.4907%,1.6154%,14.8401%,0.1319%
10107,12FEB2014,252,0.7935%,0.0007,0.8561,-0.1531,-0.3116,1.4913%,1.6159%,14.8317%,0.7216%
10107,13FEB2014,252,0.3736%,0.0006,0.8558,-0.1573,-0.3120,1.4912%,1.6158%,14.8322%,-0.1574%
10107,14FEB2014,252,0.0266%,0.0006,0.8545,-0.1534,-0.3160,1.4913%,1.6158%,14.8153%,-0.2756%
10107,18FEB2014,252,0.2127%,0.0006,0.8544,-0.1535,-0.3163,1.4913%,1.6157%,14.8095%,0.0549%
10107,19FEB2014,252,0.2405%,0.0006,0.8508,-0.1583,-0.3288,1.4917%,1.6149%,14.6848%,0.6906%
10107,20FEB2014,252,0.6398%,0.0006,0.8521,-0.1562,-0.3244,1.4916%,1.6145%,14.6456%,0.0639%
10107,21FEB2014,252,0.6093%,0.0007,0.8458,-0.1538,-0.3237,1.4911%,1.6120%,14.4371%,0.7309%
10107,24FEB2014,252,-0.7636%,0.0007,0.8416,-0.1580,-0.3399,1.4931%,1.6121%,14.2220%,-1.1788%
10107,25FEB2014,252,-0.3980%,0.0006,0.8392,-0.1586,-0.3328,1.4934%,1.6095%,13.9033%,-0.4907%
10107,26FEB2014,252,-0.1865%,0.0007,0.8428,-0.1675,-0.3331,1.4931%,1.6096%,13.9532%,-0.2077%
10107,27FEB2014,252,1.0408%,0.0007,0.8392,-0.1596,-0.3334,1.4932%,1.6080%,13.7606%,0.6125%
10107,28FEB2014,252,1.1886%,0.0007,0.8416,-0.1773,-0.2993,1.4950%,1.6093%,13.7011%,1.2279%
10107,03MAR2014,252,-1.3835%,0.0007,0.8474,-0.1830,-0.3034,1.4958%,1.6120%,13.8995%,-0.7365%
10107,04MAR2014,252,1.6676%,0.0007,0.8489,-0.1737,-0.3047,1.4959%,1.6144%,14.1515%,0.4143%
10107,05MAR2014,252,-0.7810%,0.0006,0.8505,-0.1694,-0.3151,1.4967%,1.6151%,14.1298%,-0.7481%
10107,06MAR2014,252,0.1050%,0.0007,0.8498,-0.1669,-0.2939,1.4954%,1.6137%,14.1294%,0.1556%
10107,07MAR2014,252,-0.6553%,0.0007,0.8506,-0.1671,-0.3073,1.4959%,1.6145%,14.1551%,-0.5548%
10107,10MAR2014,252,-0.2111%,0.0007,0.8529,-0.1608,-0.3136,1.4946%,1.6142%,14.2644%,-0.1236%
10107,11MAR2014,252,0.5288%,0.0008,0.8532,-0.1779,-0.3152,1.4948%,1.6139%,14.2168%,0.9128%
10107,12MAR2014,252,0.6575%,0.0008,0.8533,-0.1752,-0.3163,1.4950%,1.6142%,14.2234%,0.5464%
10107,13MAR2014,252,-0.9929%,0.0008,0.8531,-0.1745,-0.3153,1.4950%,1.6158%,14.3953%,0.0867%
10107,14MAR2014,252,-0.5014%,0.0007,0.8545,-0.1846,-0.3229,1.4949%,1.6158%,14.4036%,-0.2680%
10107,17MAR2014,252,0.9284%,0.0007,0.8543,-0.1845,-0.3207,1.4949%,1.6162%,14.4544%,0.0975%
10107,18MAR2014,252,3.9422%,0.0008,0.8668,-0.1480,-0.3566,1.5077%,1.6338%,14.8457%,3.2531%
10107,19MAR2014,252,-0.7080%,0.0008,0.8684,-0.1486,-0.3594,1.5075%,1.6347%,14.9639%,-0.0021%
10107,20MAR2014,252,2.6993%,0.0009,0.8788,-0.1706,-0.2758,1.5150%,1.6424%,14.9202%,2.5328%
10107,21MAR2014,252,-0.4215%,0.0009,0.8779,-0.1698,-0.2765,1.5149%,1.6419%,14.8658%,0.0930%
10107,24MAR2014,252,0.8466%,0.0010,0.8756,-0.1931,-0.2401,1.5174%,1.6423%,14.6375%,1.5107%
10107,25MAR2014,252,-0.3951%,0.0010,0.8723,-0.1843,-0.2410,1.5182%,1.6424%,14.5577%,-0.6917%
10107,26MAR2014,252,-1.3634%,0.0010,0.8816,-0.1790,-0.2548,1.5180%,1.6452%,14.8663%,-0.7424%
10107,27MAR2014,252,-1.0807%,0.0009,0.8830,-0.1756,-0.2338,1.5190%,1.6466%,14.8948%,-1.0159%
10107,28MAR2014,252,2.3882%,0.0009,0.8896,-0.1912,-0.1991,1.5240%,1.6521%,14.9006%,2.0775%
10107,31MAR2014,252,1.7122%,0.0010,0.8916,-0.1686,-0.1988,1.5250%,1.6549%,15.0871%,1.0066%
10107,01APR2014,252,1.0490%,0.0010,0.8918,-0.1642,-0.1998,1.5251%,1.6556%,15.1459%,0.3229%
10107,02APR2014,252,-0.1690%,0.0009,0.8913,-0.1642,-0.2017,1.5254%,1.6545%,15.0010%,-0.3931%
10107,03APR2014,252,-0.8222%,0.0009,0.8916,-0.1536,-0.2128,1.5258%,1.6557%,15.0771%,-0.5323%
10107,04APR2014,252,-2.7798%,0.0008,0.9079,-0.1363,-0.2508,1.5282%,1.6660%,15.8609%,-1.4922%
10107,07APR2014,252,-0.1756%,0.0009,0.9042,-0.1353,-0.2448,1.5277%,1.6658%,15.8920%,0.9112%
10107,08APR2014,252,0.0503%,0.0008,0.8895,-0.1001,-0.2445,1.5146%,1.6518%,15.9175%,-0.4140%
10107,09APR2014,252,1.6323%,0.0007,0.8853,-0.1109,-0.2545,1.5131%,1.6490%,15.8024%,0.3788%
10107,10APR2014,252,-2.7428%,0.0009,0.9169,-0.1622,-0.3202,1.4815%,1.6336%,17.7548%,-0.6389%
10107,11APR2014,252,-0.3836%,0.0009,0.9125,-0.1657,-0.3252,1.4816%,1.6335%,17.7344%,0.6110%
10107,14APR2014,252,-0.0740%,0.0008,0.9241,-0.1103,-0.2940,1.4792%,1.6332%,17.9742%,-0.7289%
10107,15APR2014,252,1.4548%,0.0009,0.9337,-0.1212,-0.2918,1.4799%,1.6345%,18.0216%,0.9287%
10107,16APR2014,252,1.6352%,0.0009,0.9435,-0.1223,-0.2857,1.4796%,1.6366%,18.2683%,0.4770%
10107,17APR2014,252,-0.9654%,0.0008,0.9481,-0.1377,-0.2977,1.4811%,1.6380%,18.2481%,-1.0779%
