PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,02JAN2014,252,-0.6683%,0.0005,1.0652,-0.2353,-0.4627,-0.4999,1.4251%,1.5578%,16.3140%,0.2704%
10107,03JAN2014,252,-0.6728%,0.0005,1.0683,-0.2350,-0.4651,-0.5186,1.4227%,1.5558%,16.3871%,-0.4815%
10107,06JAN2014,252,-2.1132%,0.0005,1.0897,-0.2058,-0.4613,-0.5559,1.4185%,1.5572%,17.0136%,-1.8015%
10107,07JAN2014,252,0.7750%,0.0005,1.0903,-0.2047,-0.4640,-0.5550,1.4186%,1.5575%,17.0476%,0.2280%
10107,08JAN2014,252,-1.7852%,0.0004,1.1017,-0.2034,-0.4649,-0.5884,1.4219%,1.5617%,17.1003%,-1.5247%
10107,09JAN2014,252,-0.6432%,0.0004,1.1039,-0.2050,-0.4580,-0.5960,1.4222%,1.5623%,17.1314%,-0.3761%
10107,10JAN2014,252,1.4354%,0.0005,1.1247,-0.2308,-0.4616,-0.6196,1.4188%,1.5630%,17.6060%,0.7918%
10107,13JAN2014,252,-2.9412%,0.0004,1.1432,-0.2406,-0.4560,-0.6061,1.4218%,1.5730%,18.3094%,-1.7635%
10107,14JAN2014,252,2.2870%,0.0004,1.1537,-0.2446,-0.4746,-0.6018,1.4236%,1.5789%,18.7009%,1.2064%
10107,15JAN2014,252,2.7390%,0.0005,1.1639,-0.2417,-0.4638,-0.6187,1.4285%,1.5860%,18.8746%,2.0848%
10107,16JAN2014,252,0.3536%,0.0005,1.1626,-0.2441,-0.4617,-0.6156,1.4282%,1.5853%,18.8350%,0.1522%
10107,17JAN2014,252,-1.3825%,0.0004,1.1685,-0.2464,-0.4661,-0.6199,1.4295%,1.5877%,18.9391%,-0.9079%
10107,21JAN2014,252,-0.5772%,0.0004,1.1687,-0.2572,-0.4677,-0.6167,1.4304%,1.5884%,18.9022%,-0.8415%
10107,22JAN2014,252,-0.6635%,0.0004,1.1741,-0.2578,-0.4602,-0.6278,1.4297%,1.5888%,19.0249%,-0.4764%
10107,23JAN2014,252,0.3479%,0.0004,1.1704,-0.2368,-0.4675,-0.6448,1.4272%,1.5858%,19.0066%,0.8160%
10107,24JAN2014,252,2.0802%,0.0007,1.1092,-0.2269,-0.4172,-0.6845,1.4474%,1.5906%,17.1927%,4.0038%
10107,27JAN2014,252,-2.1057%,0.0006,1.1125,-0.1938,-0.4443,-0.6740,1.4520%,1.5961%,17.2438%,-1.7891%
10107,28JAN2014,252,0.6661%,0.0006,1.1123,-0.1954,-0.4435,-0.6659,1.4522%,1.5965%,17.2585%,0.4642%
10107,29JAN2014,252,1.0753%,0.0007,1.0988,-0.2041,-0.4229,-0.6729,1.4569%,1.5975%,16.8348%,1.9230%
10107,30JAN2014,252,0.5456%,0.0007,1.0978,-0.2093,-0.4197,-0.6731,1.4568%,1.5971%,16.7992%,-0.0533%
10107,31JAN2014,252,2.6587%,0.0009,1.0713,-0.1797,-0.4392,-0.6648,1.4679%,1.6019%,16.0249%,3.2999%
10107,03FEB2014,252,-3.5941%,0.0008,1.0946,-0.1613,-0.4726,-0.6702,1.4701%,1.6160%,17.2410%,-1.5182%
10107,04FEB2014,252,-0.3564%,0.0007,1.0820,-0.1545,-0.4701,-0.6687,1.4709%,1.6118%,16.7289%,-0.9261%
10107,05FEB2014,252,-1.4580%,0.0007,1.0913,-0.1400,-0.4780,-0.6758,1.4722%,1.6150%,16.8948%,-1.2778%
10107,06FEB2014,252,1.0050%,0.0007,1.0904,-0.1282,-0.4748,-0.6842,1.4712%,1.6153%,17.0502%,-0.1454%
10107,07FEB2014,252,1.0503%,0.0007,1.0848,-0.1222,-0.4623,-0.6841,1.4713%,1.6162%,17.1219%,-0.3288%
10107,10FEB2014,252,0.6564%,0.0007,1.0849,-0.1219,-0.4647,-0.6846,1.4714%,1.6156%,17.0639%,0.2211%
10107,11FEB2014,252,1.0190%,0.0007,1.0880,-0.1230,-0.4867,-0.6873,1.4691%,1.6154%,17.2947%,-0.0226%
10107,12FEB2014,252,0.7935%,0.0007,1.0868,-0.1201,-0.4935,-0.6841,1.4698%,1.6159%,17.2630%,0.8485%
10107,13FEB2014,252,0.3736%,0.0007,1.0871,-0.1236,-0.4944,-0.6859,1.4696%,1.6158%,17.2757%,-0.1062%
10107,14FEB2014,252,0.0266%,0.0007,1.0828,-0.1168,-0.4996,-0.6800,1.4701%,1.6158%,17.2255%,-0.5191%
10107,18FEB2014,252,0.2127%,0.0007,1.0811,-0.1090,-0.4999,-0.6770,1.4702%,1.6157%,17.2056%,0.4101%
10107,19FEB2014,252,0.2405%,0.0007,1.0792,-0.1123,-0.5096,-0.6785,1.4705%,1.6149%,17.0910%,0.5666%
10107,20FEB2014,252,0.6398%,0.0007,1.0833,-0.1064,-0.5018,-0.6816,1.4703%,1.6145%,17.0697%,0.1864%
10107,21FEB2014,252,0.6093%,0.0007,1.0737,-0.1027,-0.4983,-0.6718,1.4703%,1.6120%,16.8011%,0.8925%
10107,24FEB2014,252,-0.7636%,0.0007,1.0730,-0.1057,-0.5144,-0.6793,1.4719%,1.6121%,16.6417%,-1.0099%
10107,25FEB2014,252,-0.3980%,0.0007,1.0732,-0.1064,-0.5017,-0.6790,1.4723%,1.6095%,16.3222%,-0.4968%
10107,26FEB2014,252,-0.1865%,0.0007,1.0746,-0.1170,-0.5006,-0.6737,1.4723%,1.6096%,16.3337%,-0.3481%
10107,27FEB2014,252,1.0408%,0.0007,1.0711,-0.1074,-0.5021,-0.6778,1.4722%,1.6080%,16.1754%,0.5089%
10107,28FEB2014,252,1.1886%,0.0007,1.0745,-0.1247,-0.4690,-0.6803,1.4738%,1.6093%,16.1259%,1.1894%
10107,03MAR2014,252,-1.3835%,0.0007,1.0861,-0.1280,-0.4704,-0.7028,1.4736%,1.6120%,16.4321%,-0.5953%
10107,04MAR2014,252,1.6676%,0.0006,1.0957,-0.1050,-0.4813,-0.7357,1.4724%,1.6144%,16.8179%,0.5096%
10107,05MAR2014,252,-0.7810%,0.0006,1.1025,-0.1020,-0.4928,-0.7463,1.4725%,1.6151%,16.8797%,-0.4380%
