PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
10107,02JAN2014,252,-0.67%,-0.88%,1.05,-0.00,1.40%,1.57%,20.32%
10107,03JAN2014,252,-0.67%,0.05%,1.09,-0.00,1.39%,1.57%,21.78%
10107,06JAN2014,252,-2.11%,-0.33%,1.09,-0.00,1.39%,1.57%,21.62%
10107,07JAN2014,252,0.77%,0.61%,1.09,-0.00,1.39%,1.57%,21.58%
10107,08JAN2014,252,-1.79%,0.02%,1.08,-0.00,1.40%,1.58%,21.18%
10107,09JAN2014,252,-0.64%,0.01%,1.08,-0.00,1.40%,1.58%,21.06%
10107,10JAN2014,252,1.44%,0.36%,1.08,-0.00,1.40%,1.58%,20.83%
10107,13JAN2014,252,-2.94%,-1.16%,1.08,-0.00,1.42%,1.59%,20.44%
10107,14JAN2014,252,2.29%,1.03%,1.08,-0.00,1.42%,1.59%,20.32%
10107,15JAN2014,252,2.74%,0.51%,1.11,-0.00,1.42%,1.60%,21.41%
10107,16JAN2014,252,0.35%,-0.03%,1.11,-0.00,1.42%,1.60%,21.47%
10107,17JAN2014,252,-1.38%,-0.35%,1.11,-0.00,1.42%,1.60%,21.46%
10107,21JAN2014,252,-0.58%,0.34%,1.12,-0.00,1.42%,1.60%,21.49%
10107,22JAN2014,252,-0.66%,0.15%,1.13,-0.00,1.42%,1.60%,21.76%
10107,23JAN2014,252,0.35%,-0.82%,1.09,-0.00,1.43%,1.60%,20.48%
10107,24JAN2014,252,2.08%,-2.11%,0.93,-0.00,1.47%,1.60%,16.05%
10107,27JAN2014,252,-2.11%,-0.66%,0.96,-0.00,1.46%,1.61%,17.16%
10107,28JAN2014,252,0.67%,0.73%,0.96,-0.00,1.47%,1.61%,16.94%
10107,29JAN2014,252,1.08%,-0.99%,0.98,-0.00,1.46%,1.61%,17.34%
10107,30JAN2014,252,0.55%,1.15%,0.98,-0.00,1.46%,1.61%,17.26%
10107,31JAN2014,252,2.66%,-0.58%,0.93,-0.00,1.49%,1.61%,15.43%
10107,03FEB2014,252,-3.59%,-2.32%,0.96,-0.00,1.48%,1.63%,17.17%
10107,04FEB2014,252,-0.36%,0.76%,0.98,-0.00,1.47%,1.63%,17.82%
10107,05FEB2014,252,-1.46%,-0.20%,0.96,-0.00,1.48%,1.63%,17.14%
10107,06FEB2014,252,1.01%,1.19%,0.96,-0.00,1.48%,1.63%,17.50%
10107,07FEB2014,252,1.05%,1.26%,0.96,-0.00,1.48%,1.63%,17.79%
10107,10FEB2014,252,0.66%,0.16%,0.97,-0.00,1.47%,1.63%,18.26%
10107,11FEB2014,252,1.02%,1.06%,0.96,-0.00,1.47%,1.63%,18.25%
10107,12FEB2014,252,0.79%,0.12%,0.97,-0.00,1.47%,1.63%,18.65%
10107,13FEB2014,252,0.37%,0.70%,0.97,-0.00,1.47%,1.63%,18.63%
10107,14FEB2014,252,0.03%,0.41%,0.96,-0.00,1.47%,1.63%,18.59%
10107,18FEB2014,252,0.21%,0.32%,0.96,-0.00,1.47%,1.63%,18.55%
10107,19FEB2014,252,0.24%,-0.68%,0.97,-0.00,1.47%,1.63%,18.86%
10107,20FEB2014,252,0.64%,0.64%,0.97,-0.00,1.47%,1.63%,18.84%
10107,21FEB2014,252,0.61%,-0.08%,0.97,-0.00,1.47%,1.63%,18.68%
10107,24FEB2014,252,-0.76%,0.62%,0.97,-0.00,1.46%,1.63%,19.00%
10107,25FEB2014,252,-0.40%,-0.13%,0.97,-0.00,1.46%,1.62%,18.90%
10107,26FEB2014,252,-0.19%,0.10%,0.97,-0.00,1.46%,1.62%,18.90%
10107,27FEB2014,252,1.04%,0.49%,0.97,-0.00,1.46%,1.62%,18.61%
10107,28FEB2014,252,1.19%,0.17%,0.96,-0.00,1.47%,1.62%,18.43%
10107,03MAR2014,252,-1.38%,-0.66%,0.96,-0.00,1.47%,1.63%,18.13%
10107,04MAR2014,252,1.67%,1.54%,0.96,-0.00,1.47%,1.63%,18.00%
10107,05MAR2014,252,-0.78%,0.04%,0.95,-0.00,1.48%,1.63%,17.56%
10107,06MAR2014,252,0.10%,0.17%,0.96,-0.00,1.47%,1.63%,17.89%
10107,07MAR2014,252,-0.66%,-0.08%,0.96,-0.00,1.48%,1.63%,17.90%
10107,10MAR2014,252,-0.21%,-0.13%,0.97,-0.00,1.47%,1.63%,18.10%
10107,11MAR2014,252,0.53%,-0.55%,0.96,-0.00,1.47%,1.63%,17.96%
10107,12MAR2014,252,0.66%,0.13%,0.96,-0.00,1.48%,1.63%,17.58%
10107,13MAR2014,252,-0.99%,-1.11%,0.96,-0.00,1.48%,1.63%,17.72%
10107,14MAR2014,252,-0.50%,-0.14%,0.96,-0.00,1.48%,1.63%,17.77%
10107,17MAR2014,252,0.93%,0.83%,0.96,-0.00,1.48%,1.63%,17.93%
10107,18MAR2014,252,3.94%,0.77%,0.98,-0.00,1.49%,1.65%,18.47%
10107,19MAR2014,252,-0.71%,-0.68%,0.98,-0.00,1.49%,1.65%,18.49%
10107,20MAR2014,252,2.70%,0.47%,0.97,-0.00,1.50%,1.65%,17.80%
10107,21MAR2014,252,-0.42%,-0.29%,0.97,-0.00,1.50%,1.65%,17.86%
10107,24MAR2014,252,0.85%,-0.61%,0.96,-0.00,1.50%,1.65%,17.66%
10107,25MAR2014,252,-0.40%,0.34%,0.97,-0.00,1.50%,1.65%,17.87%
10107,26MAR2014,252,-1.36%,-0.82%,0.98,-0.00,1.50%,1.66%,18.09%
10107,27MAR2014,252,-1.08%,-0.10%,0.98,-0.00,1.50%,1.66%,18.04%
10107,28MAR2014,252,2.39%,0.45%,0.99,-0.00,1.50%,1.66%,18.68%
10107,31MAR2014,252,1.71%,0.92%,1.00,-0.00,1.50%,1.67%,19.35%
10107,01APR2014,252,1.05%,0.83%,1.01,-0.00,1.49%,1.67%,20.00%
10107,02APR2014,252,-0.17%,0.28%,1.01,-0.00,1.49%,1.67%,19.90%
10107,03APR2014,252,-0.82%,-0.31%,1.01,-0.00,1.49%,1.67%,20.17%
10107,04APR2014,252,-2.78%,-1.26%,1.05,-0.00,1.48%,1.68%,21.77%
10107,07APR2014,252,-0.18%,-1.17%,1.04,-0.00,1.49%,1.68%,21.56%
10107,08APR2014,252,0.05%,0.54%,0.99,-0.00,1.49%,1.66%,19.83%
10107,09APR2014,252,1.63%,1.13%,0.97,-0.00,1.50%,1.66%,18.84%
10107,10APR2014,252,-2.74%,-2.08%,1.02,-0.00,1.46%,1.65%,21.65%
10107,11APR2014,252,-0.38%,-0.98%,1.01,-0.00,1.46%,1.65%,21.29%
10107,14APR2014,252,-0.07%,0.65%,1.03,-0.00,1.46%,1.65%,21.80%
10107,15APR2014,252,1.45%,0.52%,1.03,-0.00,1.45%,1.65%,22.83%
10107,16APR2014,252,1.64%,1.06%,1.05,-0.00,1.44%,1.65%,23.36%
10107,17APR2014,252,-0.97%,0.23%,1.04,-0.00,1.45%,1.65%,22.96%
10107,21APR2014,252,-0.17%,0.35%,1.02,-0.00,1.44%,1.64%,22.73%
10107,22APR2014,252,0.13%,0.56%,0.97,-0.00,1.45%,1.62%,20.77%
10107,23APR2014,252,-0.75%,-0.28%,0.99,-0.00,1.44%,1.62%,21.33%
10107,24APR2014,252,0.43%,0.07%,0.95,-0.00,1.44%,1.61%,19.77%
10107,25APR2014,252,0.13%,-0.95%,0.94,-0.00,1.44%,1.61%,19.57%
10107,28APR2014,252,2.41%,0.11%,0.94,-0.00,1.45%,1.61%,19.11%
10107,29APR2014,252,-0.88%,0.56%,0.92,-0.00,1.45%,1.61%,18.54%
10107,30APR2014,252,-0.27%,0.34%,0.92,-0.00,1.45%,1.61%,18.57%
10107,01MAY2014,252,-0.99%,0.08%,0.91,-0.00,1.45%,1.60%,18.51%
10107,02MAY2014,252,-0.78%,-0.03%,0.91,-0.00,1.45%,1.60%,18.36%
10107,05MAY2014,252,-0.66%,0.13%,0.92,-0.00,1.45%,1.60%,18.21%
10107,06MAY2014,252,-0.94%,-0.87%,0.91,-0.00,1.45%,1.60%,17.93%
10107,07MAY2014,252,0.93%,0.44%,0.92,-0.00,1.45%,1.60%,18.22%
10107,08MAY2014,252,0.55%,-0.27%,0.93,-0.00,1.45%,1.60%,18.45%
10107,09MAY2014,252,-0.25%,0.16%,0.93,-0.00,1.44%,1.60%,18.50%
10107,12MAY2014,252,1.09%,1.12%,0.93,-0.00,1.44%,1.60%,18.64%
10107,13MAY2014,252,1.83%,-0.07%,0.92,-0.00,1.45%,1.60%,18.41%
10107,14MAY2014,252,-0.45%,-0.47%,0.91,-0.00,1.45%,1.60%,18.05%
10107,15MAY2014,252,-1.59%,-0.84%,0.92,-0.00,1.45%,1.60%,18.23%
10107,16MAY2014,252,0.58%,0.34%,0.91,-0.00,1.45%,1.60%,17.98%
10107,19MAY2014,252,-0.20%,0.43%,0.91,-0.00,1.45%,1.60%,17.92%
10107,20MAY2014,252,-0.18%,-0.69%,0.91,-0.00,1.45%,1.59%,17.77%
10107,21MAY2014,252,1.69%,0.74%,0.90,-0.00,1.45%,1.60%,17.62%
10107,22MAY2014,252,-0.62%,0.35%,0.89,-0.00,1.45%,1.60%,17.26%
10107,23MAY2014,252,0.05%,0.48%,0.88,-0.00,1.46%,1.59%,16.77%
10107,27MAY2014,252,0.17%,0.59%,0.88,-0.00,1.46%,1.59%,16.74%
10107,28MAY2014,252,-0.45%,-0.13%,0.88,-0.00,1.45%,1.59%,17.01%
10107,29MAY2014,252,0.82%,0.49%,0.88,-0.00,1.45%,1.59%,17.02%
10107,30MAY2014,252,1.49%,0.06%,0.88,-0.00,1.45%,1.59%,17.35%
10107,02JUN2014,252,-0.37%,0.07%,0.89,-0.00,1.45%,1.59%,17.39%
10107,03JUN2014,252,-1.23%,-0.04%,0.91,-0.00,1.44%,1.59%,18.35%
10107,04JUN2014,252,0.07%,0.26%,0.89,-0.00,1.44%,1.59%,17.78%
10107,05JUN2014,252,2.21%,0.73%,0.91,-0.00,1.44%,1.59%,18.42%
10107,06JUN2014,252,0.66%,0.51%,0.91,-0.00,1.44%,1.59%,18.59%
10107,09JUN2014,252,-0.51%,0.19%,0.90,-0.00,1.44%,1.59%,17.77%
10107,10JUN2014,252,-0.39%,-0.04%,0.90,-0.00,1.44%,1.59%,17.78%
10107,11JUN2014,252,-0.61%,-0.31%,0.89,-0.00,1.44%,1.58%,17.23%
10107,12JUN2014,252,-0.69%,-0.57%,0.89,-0.00,1.44%,1.58%,17.47%
10107,13JUN2014,252,1.60%,0.31%,0.89,-0.00,1.44%,1.59%,17.25%
10107,16JUN2014,252,0.65%,0.14%,0.90,-0.00,1.44%,1.58%,17.60%
10107,17JUN2014,252,0.43%,0.30%,0.89,-0.00,1.44%,1.58%,17.48%
10107,18JUN2014,252,-0.07%,0.70%,0.89,-0.00,1.44%,1.58%,17.39%
10107,19JUN2014,252,-0.34%,0.17%,0.88,-0.00,1.44%,1.58%,16.93%
10107,20JUN2014,252,0.41%,0.21%,0.85,-0.00,1.45%,1.57%,14.79%
10107,23JUN2014,252,0.74%,0.01%,0.82,-0.00,1.45%,1.57%,13.86%
10107,24JUN2014,252,-0.58%,-0.70%,0.83,-0.00,1.45%,1.56%,14.09%
10107,25JUN2014,252,0.68%,0.51%,0.83,-0.00,1.45%,1.56%,14.07%
10107,26JUN2014,252,-0.74%,-0.06%,0.80,-0.00,1.46%,1.56%,12.84%
10107,27JUN2014,252,1.27%,0.29%,0.80,-0.00,1.46%,1.56%,12.69%
10107,30JUN2014,252,-1.30%,0.10%,0.79,-0.00,1.46%,1.56%,12.35%
10107,01JUL2014,252,0.41%,0.68%,0.79,-0.00,1.46%,1.56%,12.38%
10107,02JUL2014,252,0.07%,-0.03%,0.79,-0.00,1.46%,1.56%,12.55%
10107,03JUL2014,252,-0.24%,0.50%,0.79,-0.00,1.46%,1.56%,12.54%
10107,07JUL2014,252,0.45%,-0.61%,0.78,-0.00,1.46%,1.56%,12.22%
10107,08JUL2014,252,-0.50%,-0.74%,0.79,-0.00,1.46%,1.56%,12.17%
10107,09JUL2014,252,-0.26%,0.45%,0.80,-0.00,1.46%,1.56%,12.33%
10107,10JUL2014,252,0.04%,-0.49%,0.78,-0.00,1.47%,1.56%,11.73%
10107,11JUL2014,252,0.97%,0.08%,0.75,-0.00,1.47%,1.55%,10.88%
10107,14JUL2014,252,0.12%,0.46%,0.76,-0.00,1.47%,1.55%,10.91%
10107,15JUL2014,252,0.74%,-0.33%,0.76,-0.00,1.46%,1.55%,11.05%
10107,16JUL2014,252,3.84%,0.38%,0.72,-0.00,1.49%,1.57%,9.61%
10107,17JUL2014,252,1.02%,-1.10%,0.73,-0.00,1.49%,1.57%,9.79%
10107,18JUL2014,252,0.36%,1.03%,0.74,-0.00,1.48%,1.57%,10.00%
10107,21JUL2014,252,0.32%,-0.22%,0.83,-0.00,1.24%,1.36%,16.78%
