PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,07FEB2020,252,0.1416%,1.2131,0.0013,0.7102%,1.1836%,63.9956%,0.8033%,MSFT
10107,18JUL2016,252,0.4842%,1.1981,0.0007,1.1508%,1.7444%,56.4732%,0.1837%,MSFT
10107,13JUL2015,252,2.0847%,1.1062,0.0001,1.2298%,1.5024%,32.9910%,0.8299%,MSFT
10107,12OCT2015,252,-0.2335%,1.1947,0.0001,1.2253%,1.6673%,45.9928%,-0.3060%,MSFT
10107,15APR2016,252,0.5238%,1.2037,0.0014,1.2387%,1.7778%,51.4472%,0.5720%,MSFT
10107,07FEB2019,252,-0.7168%,1.4327,0.0006,0.9093%,1.8082%,74.7089%,0.6140%,MSFT
10107,06AUG2019,252,1.8758%,1.3471,0.0009,0.8904%,1.6466%,70.7615%,0.1314%,MSFT
10107,25NOV2019,252,1.0963%,1.2593,0.0007,0.7908%,1.4755%,71.2741%,-0.0674%,MSFT
10107,11AUG2020,252,-2.3385%,1.0932,0.0010,1.1855%,2.5984%,79.1846%,-1.4321%,MSFT
10107,24MAR2014,252,0.8466%,0.8307,0.0010,1.5205%,1.6423%,14.2829%,1.3823%,MSFT
10107,25NOV2015,252,-1.0323%,1.2242,0.0006,1.3378%,1.7763%,43.2821%,-1.1425%,MSFT
10107,01MAR2016,252,3.3412%,1.2140,0.0013,1.2396%,1.7879%,51.9278%,0.5114%,MSFT
10107,15APR2014,252,1.4548%,0.9123,0.0008,1.4831%,1.6345%,17.6595%,0.9208%,MSFT
10107,01JUN2016,252,-0.2830%,1.1906,0.0007,1.1493%,1.7070%,54.6682%,-0.5222%,MSFT
10107,20MAR2019,252,-0.1105%,1.4320,0.0008,0.8991%,1.7389%,73.2623%,0.4390%,MSFT
10107,06MAY2019,252,-0.5818%,1.3662,0.0007,0.8750%,1.5892%,69.6832%,-0.0585%,MSFT
10107,27MAY2015,252,2.1893%,1.1158,0.0003,1.2367%,1.4925%,31.3403%,1.1607%,MSFT
10107,05NOV2019,252,-0.0623%,1.2870,0.0007,0.8025%,1.5453%,73.0302%,-0.0297%,MSFT
10107,14JUN2018,252,0.5652%,1.4134,0.0007,0.8301%,1.3821%,63.9234%,0.1775%,MSFT
10107,11MAY2020,252,1.1154%,1.1241,0.0015,1.0183%,2.5190%,83.6591%,1.0368%,MSFT
10107,26AUG2015,252,5.5350%,1.1996,0.0000,1.2395%,1.6278%,42.0128%,1.2069%,MSFT
10107,10NOV2020,252,-3.3793%,1.1224,0.0008,1.2838%,2.7513%,78.2269%,-3.1886%,MSFT
10107,03JUL2017,252,-1.1026%,1.0185,0.0005,0.7830%,0.9635%,33.9521%,-1.3516%,MSFT
10107,03NOV2015,252,1.7092%,1.2301,0.0004,1.3484%,1.7749%,42.2837%,1.3162%,MSFT
10107,13SEP2017,252,0.7097%,1.0596,0.0005,0.7429%,0.9290%,36.0617%,0.5896%,MSFT
10107,18DEC2015,252,-2.8187%,1.2428,0.0008,1.3140%,1.7757%,45.2404%,-0.7008%,MSFT
10107,05FEB2016,252,-3.5385%,1.2166,0.0013,1.2318%,1.7484%,50.3686%,-1.0524%,MSFT
10107,11APR2017,252,-0.0763%,1.0661,0.0001,0.9141%,1.1490%,36.7044%,-0.0262%,MSFT
10107,23MAR2016,252,-0.1849%,1.2086,0.0013,1.2578%,1.7917%,50.7205%,0.8544%,MSFT
10107,12SEP2018,252,0.4225%,1.4385,0.0007,0.8645%,1.4176%,62.8111%,0.3714%,MSFT
10107,09MAY2016,252,-0.6350%,1.1876,0.0005,1.1477%,1.6958%,54.1940%,-0.6956%,MSFT
10107,19MAR2015,252,-0.5059%,1.0584,-0.0001,1.0501%,1.3269%,37.3727%,-0.1249%,MSFT
10107,23JUN2016,252,1.8043%,1.1881,0.0007,1.1640%,1.7142%,53.8932%,0.0817%,MSFT
10107,09SEP2019,252,-1.1359%,1.3287,0.0009,0.8716%,1.6881%,73.3386%,-1.2511%,MSFT
10107,09AUG2016,252,0.2411%,1.2154,0.0008,1.1474%,1.7480%,56.9137%,0.1794%,MSFT
10107,04MAY2015,252,-0.8529%,1.0784,0.0004,1.2293%,1.4706%,30.1224%,-1.1990%,MSFT
10107,20JUN2019,252,0.9286%,1.3776,0.0010,0.8850%,1.6478%,71.1550%,-0.3072%,MSFT
10107,03MAR2014,252,-1.3835%,0.8015,0.0007,1.4997%,1.6120%,13.4437%,-0.8259%,MSFT
10107,20SEP2019,252,-1.1555%,1.3227,0.0009,0.8812%,1.6873%,72.7258%,-0.5302%,MSFT
10107,18JUN2015,252,1.6315%,1.1263,0.0002,1.2281%,1.4943%,32.4622%,0.5243%,MSFT
10107,20DEC2019,252,1.0918%,1.2532,0.0005,0.7517%,1.3638%,69.6217%,0.4831%,MSFT
10107,03OCT2018,252,0.0174%,1.4397,0.0009,0.8622%,1.4202%,63.1447%,-0.2784%,MSFT
10107,25MAR2020,252,-0.9573%,1.1572,0.0016,0.9087%,2.3069%,84.4829%,-2.3320%,MSFT
10107,04AUG2015,252,1.5595%,1.1355,0.0001,1.2334%,1.5128%,33.5296%,1.7190%,MSFT
10107,25JUN2020,252,1.2636%,1.0860,0.0014,1.0743%,2.5318%,81.9941%,0.0473%,MSFT
10107,21MAR2017,252,-1.1089%,1.0686,0.0001,0.9199%,1.1670%,37.8717%,0.4814%,MSFT
10107,25SEP2020,252,2.2787%,1.1142,0.0011,1.2335%,2.6787%,78.7947%,0.3632%,MSFT
10107,18SEP2015,252,-1.7401%,1.2260,-0.0001,1.2313%,1.6929%,47.0992%,0.2480%,MSFT
10107,28DEC2020,252,0.9921%,1.1179,0.0006,1.3238%,2.7694%,77.1515%,0.4780%,MSFT
10107,28DEC2015,252,0.5030%,1.2392,0.0008,1.3126%,1.7768%,45.4239%,0.8497%,MSFT
10107,22OCT2015,252,1.7585%,1.1938,0.0001,1.2228%,1.6590%,45.6734%,-0.0333%,MSFT
10107,26MAR2014,252,-1.3634%,0.8377,0.0009,1.5211%,1.6452%,14.5140%,-0.6255%,MSFT
