PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,TICKER
10107,22JAN2013,252,-0.3670%,-0.0006,1.1043,-0.0768,-0.1842,0.9451%,1.3048%,47.5417%,-0.8088%,MSFT
10107,05MAR2020,252,-2.5095%,0.0006,1.2464,-0.4290,-0.6290,0.6667%,1.4632%,79.2361%,1.0038%,MSFT
10107,20MAY2010,252,-4.0014%,0.0007,1.1126,-0.3445,-0.6021,1.1038%,1.4652%,43.2413%,-0.6268%,MSFT
10107,25JUL2013,252,-1.7835%,-0.0003,0.9784,-0.0921,-0.3516,1.2361%,1.4266%,24.9297%,-2.3463%,MSFT
10107,28FEB2019,252,-0.1248%,0.0004,1.2691,-0.4574,-0.7101,0.8176%,1.7477%,78.1135%,0.0852%,MSFT
10107,17JUL2012,252,0.7473%,0.0003,0.9047,-0.2514,-0.2039,0.9569%,1.5819%,63.4086%,0.0600%,MSFT
10107,16OCT2012,252,-0.0678%,-0.0003,0.9938,-0.3181,-0.2525,0.9139%,1.3183%,51.9428%,-1.2120%,MSFT
10107,05APR2017,252,-0.2586%,0.0003,1.3127,-0.4872,-0.4578,0.8557%,1.1522%,44.8458%,-0.2122%,MSFT
10107,24APR2013,252,3.7908%,-0.0005,1.0592,-0.1580,-0.2318,0.9603%,1.2855%,44.1915%,4.2371%,MSFT
10107,21FEB2017,252,-0.2012%,0.0002,1.3287,-0.5898,-0.5009,0.9083%,1.2368%,46.0731%,-0.9412%,MSFT
10107,24OCT2013,252,-0.1185%,0.0001,0.9200,-0.0832,-0.2968,1.3914%,1.5459%,18.9870%,-0.5747%,MSFT
10107,23AUG2018,252,0.4670%,0.0006,1.3464,-0.4732,-0.8491,0.7561%,1.4033%,70.9721%,0.4087%,MSFT
10107,16APR2012,252,0.8601%,0.0006,0.8848,-0.2476,-0.2095,0.9322%,1.5242%,62.5941%,1.1602%,MSFT
10107,30AUG2019,252,-0.1882%,0.0003,1.2578,-0.4901,-0.6351,0.7599%,1.6898%,79.7787%,-0.2751%,MSFT
10107,12MAR2020,252,-9.4838%,0.0006,1.2138,-0.4683,-0.5934,0.6807%,1.7248%,84.4251%,1.6198%,MSFT
10107,04SEP2020,252,-1.4036%,0.0004,1.2398,-0.2039,-0.5454,0.9126%,2.6211%,87.8762%,0.7986%,MSFT
10107,10MAY2010,252,2.5877%,0.0010,1.1088,-0.3908,-0.6345,1.1183%,1.4512%,40.6124%,-1.3269%,MSFT
10107,04DEC2012,252,-0.2247%,-0.0002,1.0639,-0.2387,-0.2007,0.9618%,1.3021%,45.4447%,0.0192%,MSFT
10107,05AUG2013,252,-0.5958%,-0.0003,0.9699,-0.0870,-0.3781,1.2408%,1.4200%,23.6423%,-0.5397%,MSFT
10107,08MAR2013,252,-0.4975%,-0.0009,1.1085,-0.1153,-0.3403,0.8499%,1.2395%,52.9813%,-1.0887%,MSFT
10107,02JUN2010,252,2.2016%,0.0006,1.1514,-0.3987,-0.6690,1.1323%,1.4851%,41.8746%,-0.5049%,MSFT
10107,10JUN2013,252,-0.5607%,-0.0001,1.0820,-0.0195,-0.1634,0.9767%,1.2891%,42.5910%,-0.5969%,MSFT
10107,16MAR2017,252,-0.1699%,0.0001,1.3035,-0.4941,-0.4486,0.8792%,1.1739%,43.9110%,0.2403%,MSFT
10107,10SEP2013,252,2.3219%,-0.0003,0.9586,-0.0602,-0.4143,1.3854%,1.5457%,19.6578%,1.6301%,MSFT
10107,22AUG2017,252,1.3999%,0.0004,1.1874,-0.2487,-0.5011,0.6670%,0.9327%,48.8586%,-0.0009%,MSFT
10107,10DEC2013,252,-1.5373%,0.0007,0.9529,-0.3056,-0.2944,1.4333%,1.5752%,17.2048%,-1.3266%,MSFT
10107,23MAY2018,252,1.1897%,0.0007,1.3827,-0.4193,-0.7204,0.7515%,1.3924%,70.8702%,0.3164%,MSFT
10107,29FEB2012,252,-0.4079%,0.0006,0.8747,-0.2335,-0.1873,0.9253%,1.5151%,62.7027%,-0.1374%,MSFT
10107,23NOV2018,252,-0.0388%,0.0007,1.3114,-0.4611,-0.7867,0.7922%,1.6289%,76.3462%,0.5935%,MSFT
10107,16APR2010,252,-0.6479%,0.0007,1.1902,-0.3475,-0.6728,1.2879%,1.6047%,35.5857%,0.1644%,MSFT
10107,31MAY2019,252,-1.6305%,0.0004,1.2305,-0.4533,-0.7066,0.7725%,1.6175%,77.1898%,-0.1307%,MSFT
10107,31MAY2012,252,-0.5112%,0.0007,0.8727,-0.2222,-0.2299,0.9530%,1.5325%,61.3284%,-0.1563%,MSFT
10107,02DEC2019,252,-1.2089%,0.0002,1.2468,-0.5062,-0.5346,0.6584%,1.4466%,79.2835%,-0.0063%,MSFT
10107,02FEB2015,252,2.1782%,-0.0003,1.1851,-0.4956,-0.1890,1.0148%,1.3514%,43.6103%,0.7439%,MSFT
10107,05JUN2020,252,2.3398%,0.0005,1.2315,-0.2328,-0.5299,0.7918%,2.4992%,89.9612%,0.9149%,MSFT
10107,30AUG2012,252,-1.0767%,0.0001,0.9386,-0.2301,-0.2600,0.9141%,1.3941%,57.0067%,-0.4412%,MSFT
10107,07DEC2020,252,-0.0327%,-0.0001,1.2443,-0.2592,-0.5224,0.9366%,2.7591%,88.4760%,-0.5496%,MSFT
10107,22NOV2017,252,-0.7286%,0.0002,1.3499,-0.2612,-0.5175,0.6735%,0.9091%,45.1145%,-0.6811%,MSFT
10107,09NOV2012,252,0.0694%,0.0000,1.0265,-0.2100,-0.2280,0.9237%,1.3278%,51.6081%,-0.1121%,MSFT
10107,14MAY2010,252,-1.0602%,0.0008,1.0870,-0.3431,-0.5840,1.1085%,1.4437%,41.0501%,0.5056%,MSFT
10107,27DEC2012,252,0.3723%,-0.0003,1.1100,-0.1601,-0.1261,0.9553%,1.3020%,46.1617%,0.4773%,MSFT
10107,22FEB2017,252,-0.2016%,0.0002,1.3117,-0.5724,-0.5067,0.9052%,1.2234%,45.2484%,-0.1674%,MSFT
10107,13FEB2013,252,0.5380%,-0.0007,1.1303,-0.1036,-0.3029,0.8736%,1.2639%,52.2272%,0.3952%,MSFT
10107,26MAY2010,252,-4.0660%,0.0005,1.1356,-0.3925,-0.6496,1.1287%,1.4741%,41.3747%,-3.1502%,MSFT
10107,02APR2013,252,0.6641%,-0.0008,1.0939,-0.0592,-0.3264,0.8472%,1.2262%,52.2660%,0.1686%,MSFT
10107,05OCT2016,252,0.6988%,0.0005,1.2842,-0.4672,-0.4803,1.0753%,1.5638%,52.7184%,0.4550%,MSFT
10107,16MAY2013,252,0.6943%,-0.0003,1.0731,-0.0982,-0.1578,0.9720%,1.2994%,44.0375%,1.2148%,MSFT
10107,20SEP2011,252,-0.8453%,-0.0000,0.9350,-0.2601,-0.3544,0.8792%,1.3741%,59.0565%,-0.7522%,MSFT
10107,02JUL2013,252,-1.2224%,-0.0001,1.0195,-0.1061,-0.2666,0.9966%,1.2646%,37.8960%,-1.1068%,MSFT
10107,26NOV2010,252,-0.1183%,-0.0011,1.0690,-0.1794,-0.5232,0.9173%,1.3805%,55.8421%,0.4610%,MSFT
10107,16AUG2013,252,0.0315%,-0.0002,0.9594,-0.1039,-0.3828,1.2582%,1.4317%,22.7581%,0.3351%,MSFT
10107,06JAN2016,252,-1.8165%,0.0007,1.2169,-0.5994,-0.2641,1.2753%,1.7787%,48.5910%,-0.2531%,MSFT
10107,02OCT2013,252,1.0125%,0.0001,0.9679,-0.0931,-0.4268,1.3904%,1.5518%,19.7162%,1.0574%,MSFT
10107,04AUG2017,252,0.7346%,0.0004,1.2053,-0.2707,-0.4923,0.6589%,0.9099%,47.5736%,0.7001%,MSFT
10107,15NOV2013,252,-0.4734%,0.0005,0.9423,-0.3106,-0.3230,1.4347%,1.5775%,17.2844%,-0.9554%,MSFT
10107,25MAY2011,252,0.1656%,-0.0012,1.0541,-0.2867,-0.3981,0.9276%,1.3024%,49.2691%,-0.1334%,MSFT
10107,04JAN2018,252,0.8801%,0.0000,1.3574,-0.1950,-0.6005,0.6960%,0.9307%,44.0798%,0.3902%,MSFT
10107,09APR2018,252,0.5985%,0.0005,1.4014,-0.3103,-0.7380,0.7561%,1.3545%,68.8387%,-0.2486%,MSFT
10107,06FEB2012,252,-0.1323%,0.0003,0.8744,-0.2684,-0.2066,0.9203%,1.5058%,62.6436%,-0.1995%,MSFT
10107,10JUL2018,252,0.2651%,0.0006,1.3623,-0.3734,-0.7469,0.7497%,1.3783%,70.4140%,-0.4609%,MSFT
10107,12APR2010,252,-0.0659%,0.0006,1.2281,-0.3292,-0.7226,1.3147%,1.6432%,35.9901%,-0.2117%,MSFT
10107,09OCT2018,252,1.2720%,0.0006,1.3413,-0.4728,-0.8628,0.7652%,1.4286%,71.3083%,1.6131%,MSFT
10107,22MAR2012,252,0.2664%,0.0006,0.8762,-0.2521,-0.1836,0.9277%,1.5050%,62.0038%,0.8001%,MSFT
10107,11JAN2019,252,-0.7722%,0.0007,1.2726,-0.4931,-0.7349,0.7804%,1.8171%,81.5537%,-0.5494%,MSFT
10107,08JUN2012,252,1.4369%,0.0008,0.8851,-0.2383,-0.2329,0.9513%,1.5505%,62.3603%,0.7455%,MSFT
10107,15APR2019,252,0.0827%,0.0002,1.2163,-0.4027,-0.7067,0.7564%,1.5964%,77.5514%,-0.2779%,MSFT
10107,08MAY2012,252,-0.4894%,0.0006,0.8714,-0.1934,-0.2219,0.9423%,1.5322%,62.1770%,0.0045%,MSFT
10107,17JUL2019,252,-0.5909%,0.0002,1.2566,-0.5346,-0.6852,0.7720%,1.6421%,77.8963%,-0.3320%,MSFT
10107,22APR2010,252,0.1851%,0.0009,1.1955,-0.3177,-0.7264,1.2680%,1.5762%,35.2898%,0.3995%,MSFT
10107,16OCT2019,252,-0.8229%,0.0003,1.2695,-0.4946,-0.5356,0.7416%,1.6455%,79.6906%,-0.1957%,MSFT
10107,22JUN2012,252,1.8749%,0.0008,0.8863,-0.1861,-0.2436,0.9684%,1.5777%,62.3287%,1.3439%,MSFT
10107,17JAN2020,252,0.5597%,0.0003,1.2719,-0.4619,-0.5264,0.6224%,1.1956%,72.8993%,-0.1627%,MSFT
10107,21JUL2010,252,-1.4129%,-0.0002,1.2019,-0.4440,-0.7230,1.1120%,1.5044%,45.3634%,-0.3399%,MSFT
10107,21APR2020,252,-4.1357%,0.0006,1.2433,-0.3024,-0.6033,0.7869%,2.4976%,90.0743%,0.0577%,MSFT
10107,08AUG2012,252,0.2313%,0.0001,0.9356,-0.2690,-0.1957,0.9351%,1.5044%,61.3667%,0.2066%,MSFT
10107,22JUL2020,252,1.4371%,0.0005,1.2397,-0.1960,-0.5610,0.8172%,2.5720%,89.9046%,0.5112%,MSFT
10107,08MAY2015,252,2.2484%,0.0002,1.1456,-0.5744,-0.2504,1.2029%,1.4881%,34.6599%,0.5248%,MSFT
10107,21OCT2020,252,0.0699%,0.0002,1.2489,-0.2303,-0.5496,0.9174%,2.6928%,88.3928%,0.6112%,MSFT
10107,24SEP2012,252,-1.3145%,0.0000,0.9513,-0.2456,-0.2822,0.9220%,1.3544%,53.6563%,-1.0167%,MSFT
10107,04OCT2012,252,0.5693%,-0.0002,0.9746,-0.3093,-0.2546,0.9153%,1.3259%,52.3448%,-0.0561%,MSFT
10107,19DEC2017,252,-0.6367%,-0.0000,1.3528,-0.2357,-0.5902,0.7038%,0.9351%,43.3556%,-0.4605%,MSFT
10107,26OCT2012,252,1.1836%,-0.0001,1.0098,-0.2253,-0.2659,0.9215%,1.3254%,51.6601%,1.1098%,MSFT
10107,12MAY2010,252,1.9391%,0.0009,1.0872,-0.3558,-0.5830,1.1116%,1.4444%,40.7760%,0.8103%,MSFT
10107,21NOV2012,252,0.8985%,-0.0002,0.9924,-0.1667,-0.1730,0.9542%,1.3085%,46.8204%,0.6269%,MSFT
