permno,adate,qdate,public_date,bm,npm,capital_ratio,invt_act,de_ratio,inv_turn,TICKER
10107,30JUN2009,30SEP2009,31JAN2010,0.181,0.245,0.047,0.019,0.933,10.912,MSFT
10107,30JUN2009,31DEC2009,28FEB2010,0.166,0.277,0.065,0.016,0.916,11.904,MSFT
10107,30JUN2009,31DEC2009,31MAR2010,0.166,0.277,0.065,0.016,0.916,11.904,MSFT
10107,30JUN2009,31DEC2009,30APR2010,0.166,0.277,0.065,0.016,0.916,11.904,MSFT
10107,30JUN2009,31MAR2010,31MAY2010,0.181,0.290,0.081,0.014,0.912,12.411,MSFT
10107,30JUN2009,31MAR2010,30JUN2010,0.181,0.290,0.081,0.014,0.912,12.411,MSFT
10107,30JUN2009,31MAR2010,31JUL2010,0.181,0.290,0.081,0.014,0.912,12.411,MSFT
10107,30JUN2010,30JUN2010,31AUG2010,0.233,0.300,0.097,0.013,0.865,13.573,MSFT
10107,30JUN2010,30JUN2010,30SEP2010,0.233,0.300,0.097,0.013,0.865,13.573,MSFT
10107,30JUN2010,30JUN2010,31OCT2010,0.233,0.300,0.097,0.013,0.865,13.573,MSFT
10107,30JUN2010,30SEP2010,30NOV2010,0.226,0.313,0.108,0.014,0.882,12.983,MSFT
10107,30JUN2010,30SEP2010,31DEC2010,0.226,0.313,0.108,0.014,0.882,12.983,MSFT
10107,30JUN2010,30SEP2010,31JAN2011,0.226,0.313,0.108,0.014,0.882,12.983,MSFT
10107,30JUN2010,31DEC2010,28FEB2011,0.210,0.308,0.130,0.015,0.895,13.311,MSFT
10107,30JUN2010,31DEC2010,31MAR2011,0.210,0.308,0.130,0.015,0.895,13.311,MSFT
10107,30JUN2010,31DEC2010,30APR2011,0.210,0.308,0.130,0.015,0.895,13.311,MSFT
10107,30JUN2010,31MAR2011,31MAY2011,0.255,0.318,0.157,0.016,0.895,12.561,MSFT
10107,30JUN2010,31MAR2011,30JUN2011,0.255,0.318,0.157,0.016,0.895,12.561,MSFT
10107,30JUN2010,31MAR2011,31JUL2011,0.255,0.318,0.157,0.016,0.895,12.561,MSFT
10107,30JUN2011,30JUN2011,31AUG2011,0.269,0.331,0.173,0.018,0.904,12.348,MSFT
10107,30JUN2011,30JUN2011,30SEP2011,0.269,0.331,0.173,0.018,0.904,12.348,MSFT
10107,30JUN2011,30JUN2011,31OCT2011,0.269,0.331,0.173,0.018,0.904,12.348,MSFT
10107,30JUN2011,30SEP2011,30NOV2011,0.289,0.330,0.172,0.020,0.869,9.654,MSFT
10107,30JUN2011,30SEP2011,31DEC2011,0.289,0.330,0.172,0.020,0.869,9.654,MSFT
10107,30JUN2011,30SEP2011,31JAN2012,0.289,0.330,0.172,0.020,0.869,9.654,MSFT
10107,30JUN2011,31DEC2011,29FEB2012,0.300,0.326,0.169,0.021,0.829,9.395,MSFT
10107,30JUN2011,31DEC2011,31MAR2012,0.300,0.326,0.169,0.021,0.829,9.395,MSFT
10107,30JUN2011,31DEC2011,30APR2012,0.300,0.326,0.169,0.021,0.829,9.395,MSFT
10107,30JUN2011,31MAR2012,31MAY2012,0.259,0.320,0.161,0.021,0.791,8.878,MSFT
10107,30JUN2011,31MAR2012,30JUN2012,0.259,0.320,0.161,0.021,0.791,8.878,MSFT
10107,30JUN2011,31MAR2012,31JUL2012,0.259,0.320,0.161,0.021,0.791,8.878,MSFT
10107,30JUN2012,30JUN2012,31AUG2012,0.266,0.230,0.139,0.013,0.827,11.775,MSFT
10107,30JUN2012,30JUN2012,30SEP2012,0.266,0.230,0.139,0.013,0.827,11.775,MSFT
10107,30JUN2012,30JUN2012,31OCT2012,0.266,0.230,0.139,0.013,0.827,11.775,MSFT
10107,30JUN2012,30SEP2012,30NOV2012,0.283,0.217,0.142,0.017,0.767,10.840,MSFT
10107,30JUN2012,30SEP2012,31DEC2012,0.283,0.217,0.142,0.017,0.767,10.840,MSFT
10107,30JUN2012,30SEP2012,31JAN2013,0.283,0.217,0.142,0.017,0.767,10.840,MSFT
10107,30JUN2012,31DEC2012,28FEB2013,0.335,0.212,0.138,0.017,0.772,10.074,MSFT
10107,30JUN2012,31DEC2012,31MAR2013,0.335,0.212,0.138,0.017,0.772,10.074,MSFT
10107,30JUN2012,31DEC2012,30APR2013,0.335,0.212,0.138,0.017,0.772,10.074,MSFT
10107,30JUN2012,31MAR2013,31MAY2013,0.331,0.216,0.135,0.019,0.779,9.300,MSFT
10107,30JUN2012,31MAR2013,30JUN2013,0.331,0.216,0.135,0.019,0.779,9.300,MSFT
10107,30JUN2012,31MAR2013,31JUL2013,0.331,0.216,0.135,0.019,0.779,9.300,MSFT
10107,30JUN2013,30JUN2013,31AUG2013,0.280,0.281,0.138,0.019,0.804,10.998,MSFT
10107,30JUN2013,30JUN2013,30SEP2013,0.280,0.281,0.138,0.019,0.804,10.998,MSFT
10107,30JUN2013,30JUN2013,31OCT2013,0.280,0.281,0.138,0.019,0.804,10.998,MSFT
10107,30JUN2013,30SEP2013,30NOV2013,0.302,0.282,0.137,0.022,0.767,8.257,MSFT
10107,30JUN2013,30SEP2013,31DEC2013,0.302,0.282,0.137,0.022,0.767,8.257,MSFT
