DATE,vwretd,vwretx,sprtrn
04JAN2010,0.017127,0.017051,0.016043
05JAN2010,0.003374,0.003369,0.003116
06JAN2010,0.002046,0.001763,0.000546
07JAN2010,0.002861,0.002823,0.004001
08JAN2010,0.004174,0.004174,0.002882
11JAN2010,0.001141,0.001140,0.001747
12JAN2010,-0.010999,-0.011009,-0.009381
13JAN2010,0.008639,0.008535,0.008326
14JAN2010,0.002307,0.002283,0.002427
15JAN2010,-0.011328,-0.011354,-0.010823
19JAN2010,0.012060,0.012057,0.012500
20JAN2010,-0.011079,-0.011186,-0.010598
21JAN2010,-0.017778,-0.017802,-0.018945
22JAN2010,-0.021007,-0.021048,-0.022141
25JAN2010,0.003903,0.003893,0.004598
26JAN2010,-0.004924,-0.004936,-0.004203
27JAN2010,0.004188,0.004082,0.004880
28JAN2010,-0.011336,-0.011444,-0.011818
29JAN2010,-0.010305,-0.010329,-0.009829
01FEB2010,0.015116,0.015089,0.014266
02FEB2010,0.012232,0.012223,0.012973
03FEB2010,-0.004984,-0.005260,-0.005474
04FEB2010,-0.031992,-0.032039,-0.031141
05FEB2010,0.002653,0.002643,0.002897
08FEB2010,-0.008238,-0.008456,-0.008863
09FEB2010,0.013885,0.013852,0.013040
10FEB2010,-0.001476,-0.001752,-0.002233
11FEB2010,0.012090,0.011983,0.009680
12FEB2010,-0.000653,-0.000789,-0.002745
16FEB2010,0.017984,0.017877,0.018001
17FEB2010,0.004661,0.004485,0.004238
18FEB2010,0.006194,0.006118,0.006585
19FEB2010,0.002460,0.002340,0.002187
22FEB2010,-0.001114,-0.001153,-0.001046
23FEB2010,-0.013090,-0.013101,-0.012103
24FEB2010,0.008536,0.008387,0.009720
25FEB2010,-0.000709,-0.000906,-0.002081
26FEB2010,0.001843,0.001807,0.001405
01MAR2010,0.011990,0.011951,0.010159
02MAR2010,0.004424,0.004418,0.002330
03MAR2010,0.001605,0.001474,0.000429
04MAR2010,0.003101,0.003056,0.003736
05MAR2010,0.014512,0.014477,0.014008
08MAR2010,0.000714,0.000572,-0.000176
09MAR2010,0.001653,0.001592,0.001713
10MAR2010,0.005050,0.004924,0.004525
11MAR2010,0.003969,0.003629,0.004042
12MAR2010,0.000760,0.000747,-0.000217
15MAR2010,-0.000685,-0.000716,0.000452
16MAR2010,0.008747,0.008731,0.007779
17MAR2010,0.005614,0.005592,0.005822
18MAR2010,-0.002034,-0.002052,-0.000326
19MAR2010,-0.006913,-0.006950,-0.005087
22MAR2010,0.005864,0.005835,0.005095
