gvkey,iid,datadate,tic,cshtrd,prccd,prchd,prcld,prcod
001690,01,04JAN2010,AAPL,17540960.0000,214.0100,214.5000,212.3800,213.4300
001690,01,05JAN2010,AAPL,21474930.0000,214.3800,215.5900,213.2500,214.6000
001690,01,06JAN2010,AAPL,19642030.0000,210.9700,215.2300,210.7500,214.3800
001690,01,07JAN2010,AAPL,17013540.0000,210.5800,212.0000,209.0500,211.7500
001690,01,08JAN2010,AAPL,15972090.0000,211.9800,212.0000,209.0600,210.3000
001690,01,11JAN2010,AAPL,16467400.0000,210.1100,213.0000,208.4500,212.8000
001690,01,12JAN2010,AAPL,21186100.0000,207.7200,209.7700,206.4200,209.1900
001690,01,13JAN2010,AAPL,21579390.0000,210.6500,210.9300,204.1000,207.8700
001690,01,14JAN2010,AAPL,15445080.0000,209.4300,210.4600,209.0200,210.1100
001690,01,15JAN2010,AAPL,21207920.0000,205.9300,211.6000,205.8700,210.9300
001690,01,19JAN2010,AAPL,26025700.0000,215.0400,215.1900,207.2400,208.3300
001690,01,20JAN2010,AAPL,21813630.0000,211.7250,215.5500,209.5000,214.9100
001690,01,21JAN2010,AAPL,21675770.0000,208.0720,213.3138,207.2100,212.0800
001690,01,22JAN2010,AAPL,31288170.0000,197.7500,207.5000,197.1600,206.7800
001690,01,25JAN2010,AAPL,36594380.0000,203.0750,204.7000,200.1900,202.5100
001690,01,26JAN2010,AAPL,66426150.0000,205.9400,213.7100,202.5800,205.9500
001690,01,27JAN2010,AAPL,61461850.0000,207.8840,210.5800,199.5310,206.8500
001690,01,28JAN2010,AAPL,41832000.0000,199.2900,205.5000,198.7000,204.9300
001690,01,29JAN2010,AAPL,44435740.0000,192.0630,202.2000,190.2500,201.0800
001690,01,01FEB2010,AAPL,26693820.0000,194.7300,196.0000,191.3000,192.3700
001690,01,02FEB2010,AAPL,24922390.0000,195.8600,196.3200,193.3800,195.9100
001690,01,03FEB2010,AAPL,21932050.0000,199.2300,200.2000,194.4200,195.1700
001690,01,04FEB2010,AAPL,26996380.0000,192.0500,198.3700,191.5700,196.7300
001690,01,05FEB2010,AAPL,30334570.0000,195.4600,196.0000,190.8500,192.6250
001690,01,08FEB2010,AAPL,17020060.0000,194.1200,197.8800,194.0000,195.6900
001690,01,09FEB2010,AAPL,22586290.0000,196.1900,197.5000,194.7500,196.4200
001690,01,10FEB2010,AAPL,13187060.0000,195.1160,196.6000,194.2600,195.8900
001690,01,11FEB2010,AAPL,19509930.0000,198.6700,199.7500,194.0600,194.8800
001690,01,12FEB2010,AAPL,22983380.0000,200.3800,201.6400,195.5000,198.1100
001690,01,16FEB2010,AAPL,19375910.0000,203.4000,203.6900,201.5200,201.9400
001690,01,17FEB2010,AAPL,15527410.0000,202.5500,204.3100,200.8600,204.1900
001690,01,18FEB2010,AAPL,15042610.0000,202.9280,203.8900,200.9200,201.6300
001690,01,19FEB2010,AAPL,14830060.0000,201.6700,203.2000,201.1100,201.8600
001690,01,22FEB2010,AAPL,13943980.0000,200.4160,202.5000,199.1900,202.3400
001690,01,23FEB2010,AAPL,20537380.0000,197.0590,201.3300,195.7100,200.0000
001690,01,24FEB2010,AAPL,16431380.0000,200.6560,201.4400,197.8400,198.2300
001690,01,25FEB2010,AAPL,23743520.0000,202.0000,202.8600,196.8900,197.3800
001690,01,26FEB2010,AAPL,18106090.0000,204.6200,205.1700,202.0000,202.3800
001690,01,01MAR2010,AAPL,19616000.0000,208.9900,209.5000,205.4500,205.7500
001690,01,02MAR2010,AAPL,20212320.0000,208.8500,210.8300,207.7400,209.9300
001690,01,03MAR2010,AAPL,13263780.0000,209.3300,209.8700,207.9400,208.9400
001690,01,04MAR2010,AAPL,12798840.0000,210.7100,210.9200,208.6300,209.2800
001690,01,05MAR2010,AAPL,32092480.0000,218.9500,219.7000,214.6300,214.9400
001690,01,08MAR2010,AAPL,15332400.0000,219.0800,220.0900,218.2500,220.0100
001690,01,09MAR2010,AAPL,32844010.0000,223.0200,225.0000,217.8900,218.3100
001690,01,10MAR2010,AAPL,21272530.0000,224.8400,225.4800,223.2000,223.8300
001690,01,11MAR2010,AAPL,14458440.0000,225.5000,225.5000,223.3200,223.9100
001690,01,12MAR2010,AAPL,14834560.0000,226.6000,227.7300,225.7500,227.3700
001690,01,15MAR2010,AAPL,17572200.0000,223.8400,225.5000,220.2500,225.3800
001690,01,16MAR2010,AAPL,15940280.0000,224.4500,224.9800,222.5100,224.1800
001690,01,17MAR2010,AAPL,16071620.0000,224.1200,226.4500,223.2700,224.9000
001690,01,18MAR2010,AAPL,12165150.0000,224.6500,225.0000,222.6100,224.1000
001690,01,19MAR2010,AAPL,19952720.0000,222.2499,225.2400,221.2300,224.7900
001690,01,22MAR2010,AAPL,16261180.0000,224.7500,226.0000,220.1500,220.4700
001690,01,23MAR2010,AAPL,21483540.0000,228.3600,228.7800,224.1000,225.6400
001690,01,24MAR2010,AAPL,21345680.0000,229.3700,230.2000,227.5100,227.6400
001690,01,25MAR2010,AAPL,19351870.0000,226.6500,230.9700,226.2500,230.9200
001690,01,26MAR2010,AAPL,22855230.0000,230.9000,231.9500,228.5500,228.9500
001690,01,29MAR2010,AAPL,18698150.0000,232.3900,233.8699,231.6200,233.0000
001690,01,30MAR2010,AAPL,18760900.0000,235.8450,237.4800,234.2500,236.6030
001690,01,31MAR2010,AAPL,15348340.0000,235.0000,236.6100,234.4600,235.4900
001690,01,01APR2010,AAPL,21509750.0000,235.9700,238.7300,232.7500,237.4900
001690,01,05APR2010,AAPL,24337650.0000,238.4900,238.5100,234.7700,234.9750
001690,01,06APR2010,AAPL,15918850.0000,239.5400,240.2400,237.0000,238.2000
001690,01,07APR2010,AAPL,22415590.0000,240.6000,241.9200,238.6601,239.7200
001690,01,08APR2010,AAPL,20414240.0000,239.9500,241.5400,238.0400,240.4400
001690,01,09APR2010,AAPL,11920440.0000,241.7900,241.8900,240.4600,241.4300
001690,01,12APR2010,AAPL,11890980.0000,242.2900,243.0700,241.8100,242.2000
001690,01,13APR2010,AAPL,10883440.0000,242.4300,242.8000,241.1100,241.8600
001690,01,14APR2010,AAPL,14403960.0000,245.6900,245.8100,244.0700,245.2800
001690,01,15APR2010,AAPL,13410860.0000,248.9200,249.0300,245.5100,245.7800
001690,01,16APR2010,AAPL,26787710.0000,247.4000,251.1400,244.5500,248.5700
001690,01,19APR2010,AAPL,20224480.0000,247.0700,247.8900,241.7700,247.0300
001690,01,20APR2010,AAPL,25398970.0000,244.5900,249.2500,242.9550,248.5400
001690,01,21APR2010,AAPL,35010410.0000,259.2200,260.2500,255.7300,258.8050
001690,01,22APR2010,AAPL,28264250.0000,266.4695,266.7500,256.2000,258.2400
001690,01,23APR2010,AAPL,28415190.0000,270.8300,272.1800,267.0000,267.9900
001690,01,26APR2010,AAPL,17054120.0000,269.5000,272.4600,268.1900,271.8800
001690,01,27APR2010,AAPL,25279380.0000,262.0400,267.8400,260.5200,267.2700
001690,01,28APR2010,AAPL,27053640.0000,261.6000,264.0000,256.4100,263.2500
001690,01,29APR2010,AAPL,19931780.0000,268.6400,270.0000,262.0100,263.0200
001690,01,30APR2010,AAPL,19345990.0000,261.0900,270.5700,261.0000,269.3100
001690,01,03MAY2010,AAPL,16191950.0000,266.3500,267.8800,262.8800,263.8400
001690,01,04MAY2010,AAPL,25802930.0000,258.6800,263.2900,256.7500,262.8900
001690,01,05MAY2010,AAPL,31479040.0000,255.9850,258.1400,248.7300,253.0300
001690,01,06MAY2010,AAPL,45654970.0000,246.2500,258.2500,199.2500,253.8300
001690,01,07MAY2010,AAPL,59794600.0000,235.8600,246.5700,225.2100,243.7100
001690,01,10MAY2010,AAPL,35077030.0000,253.9900,254.6500,248.5300,250.2500
001690,01,11MAY2010,AAPL,30295420.0000,256.5200,259.8900,250.5000,251.8400
001690,01,12MAY2010,AAPL,23340750.0000,262.0900,263.1300,258.7000,259.2450
001690,01,13MAY2010,AAPL,21386290.0000,258.3600,265.0000,256.4000,263.2200
001690,01,14MAY2010,AAPL,27052640.0000,253.8200,256.4800,249.5000,255.1650
001690,01,17MAY2010,AAPL,27201950.0000,254.2200,256.1800,247.7100,254.7000
001690,01,18MAY2010,AAPL,27836690.0000,252.3600,258.5500,250.2600,256.9800
001690,01,19MAY2010,AAPL,36584210.0000,248.3400,252.9200,244.8500,249.5000
001690,01,20MAY2010,AAPL,45642480.0000,237.7600,243.8500,236.2100,241.8800
001690,01,21MAY2010,AAPL,43677740.0000,242.3200,244.5000,231.3500,232.8200
001690,01,24MAY2010,AAPL,26868300.0000,246.7600,250.9000,246.2600,247.2800
001690,01,25MAY2010,AAPL,37334680.0000,245.2200,246.7600,237.1600,239.3500
001690,01,26MAY2010,AAPL,30303620.0000,244.1090,252.1300,243.7500,250.0800
001690,01,27MAY2010,AAPL,23610050.0000,253.3500,253.8900,249.1100,250.6000
001690,01,28MAY2010,AAPL,29092250.0000,256.8800,259.4000,253.3500,259.3880
001690,01,01JUN2010,AAPL,31207930.0000,260.8300,265.9400,258.9600,259.6900
001690,01,02JUN2010,AAPL,24513430.0000,263.9500,264.8000,260.3350,264.5400
